date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:32	20117/20117	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:31%20GMT	https://www.getkvisi.com/	/home/tits/websites/Israel%20mobile%20app/www.getkvisi.com/index.html	(from )
01:03:32	529/529	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202017%2013:35:39%20GMT	http://www.aydrate.com/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin.css?ver=1.0	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin5152.css	(from http://www.aydrate.com/)
01:03:33	15972/15972	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutdeae.css	(from http://www.aydrate.com/)
01:03:35	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2027%20Dec%202017%2023:03:35%20GMT	http://s.w.org/	/home/tits/websites/Israel%20mobile%20app/s.w.org/index.html	(from http://www.aydrate.com/)
01:03:35	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Dec%202017%2023:03:35%20GMT	http://fonts.googleapis.com/	/home/tits/websites/Israel%20mobile%20app/fonts.googleapis.com/index.html	(from http://www.aydrate.com/)
01:03:35	2079/2079	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba3fc5f328b90dd59744fcfeb0de8125%22	http://www.aydrate.com/feed/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/feed/index.html	(from http://www.aydrate.com/)
01:03:35	711/711	---MC-	200	added ('OK')	application/rss+xml	etag:%22d31e8690914d305ff8598dfd2ecbb841%22	http://www.aydrate.com/comments/feed/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/comments/feed/index.html	(from http://www.aydrate.com/)
01:03:36	6940/6940	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreendeae.css	(from http://www.aydrate.com/)
01:03:37	61165/61165	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/css/woocommercedeae.css	(from http://www.aydrate.com/)
01:03:38	881/881	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20May%202017%2008:38:07%20GMT	http://www.aydrate.com/wp-content/plugins/wp-menu-cart/css/wpmenucart-icons.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/wp-menu-cart/css/wpmenucart-iconsee45.css	(from http://www.aydrate.com/)
01:03:39	1241/1241	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20May%202017%2008:38:07%20GMT	http://www.aydrate.com/wp-content/plugins/wp-menu-cart/css/wpmenucart-main.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/wp-menu-cart/css/wpmenucart-mainee45.css	(from http://www.aydrate.com/)
01:03:40	2642/2642	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Dec%202017%2023:03:40%20GMT	http://fonts.googleapis.com/css?family=Open+Sans%3A300italic%2C400italic%2C600italic%2C700italic%2C800italic%2C400%2C300%2C600%2C700%2C800&ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/fonts.googleapis.com/cssa027.css	(from http://www.aydrate.com/)
01:03:42	137025/137025	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/bootstrap.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/bootstrapee45.css	(from http://www.aydrate.com/)
01:03:42	29063/29063	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/font-awesome/css/font-awesome.min.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/font-awesome/css/font-awesome.minee45.css	(from http://www.aydrate.com/)
01:03:44	64382/64382	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/animate.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/animateee45.css	(from http://www.aydrate.com/)
01:03:44	3976/3976	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/jquery.bxslider.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/jquery.bxslideree45.css	(from http://www.aydrate.com/)
01:03:45	27154/27154	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/prettyPhoto.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/prettyPhotoee45.css	(from http://www.aydrate.com/)
01:03:46	9172/9172	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/menu-css.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/menu-cssee45.css	(from http://www.aydrate.com/)
01:03:47	2538/2538	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/css/owl.carousel.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/css/owl.carouselee45.css	(from http://www.aydrate.com/)
01:03:49	109914/109914	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Oct%202016%2008:52:34%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/style.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/styleee45.css	(from http://www.aydrate.com/)
01:03:49	7275/7275	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2011:00:08%20GMT	http://www.aydrate.com/wp-content/plugins/lead-form-builder/css/f-style.css?ver=4.8.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/lead-form-builder/css/f-styleee45.css	(from http://www.aydrate.com/)
01:03:51	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2019:30:30%20GMT	http://www.aydrate.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://www.aydrate.com/)
01:03:51	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2016:41:28%20GMT	http://www.aydrate.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.aydrate.com/)
01:03:53	824/824	---MCZ	200	added ('OK')	text/xml	date:Wed,%2027%20Dec%202017%2023:03:52%20GMT	http://www.aydrate.com/xmlrpc.php?rsd	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/xmlrpc0db0.php	(from http://www.aydrate.com/)
01:03:53	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2007:19:12%20GMT	http://www.aydrate.com/wp-includes/wlwmanifest.xml	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-includes/wlwmanifest.xml	(from http://www.aydrate.com/)
01:03:54	118/118	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/images/pattern.png	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/images/pattern.png	(from http://www.aydrate.com/)
01:03:56	332486/332486	---MC-	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202017%2023:03:53%20GMT	http://www.aydrate.com/wp-json/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-json/index.html	(from http://www.aydrate.com/)
01:03:58	76527/76527	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/images/testimonial-back.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/images/testimonial-back.jpg	(from http://www.aydrate.com/)
01:04:02	96065/96065	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/images/pricing.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/images/pricing.jpg	(from http://www.aydrate.com/)
01:04:06	631002/631002	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2015:57:10%20GMT	http://www.aydrate.com/wp-content/uploads/2016/08/20160815_095147-e1472140630865.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/08/20160815_095147-e1472140630865.jpg	(from http://www.aydrate.com/)
01:04:08	305722/305722	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2010:44:33%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/20160816_1535420-e1475059472954.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/20160816_1535420-e1475059472954.jpg	(from http://www.aydrate.com/)
01:04:08	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Dec%202017%2023:04:06%20GMT	http://cdn.oribi.io/XzE3NzQxNjMxNTU/oribi.js	/home/tits/websites/Israel%20mobile%20app/cdn.oribi.io/XzE3NzQxNjMxNTU/oribi.1d.delayed	(from http://www.aydrate.com/)
01:04:12	401142/401142	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2010:30:30%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/bike.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/bike.jpg	(from http://www.aydrate.com/)
01:04:12	1469/1469	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2008:28:54%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-32x32.png	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-32x32.png	(from http://www.aydrate.com/)
01:04:14	10311/10311	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2008:28:54%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-192x192.png	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-192x192.png	(from http://www.aydrate.com/)
01:04:14	95868/95868	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2023:04:08%20GMT	https://cdn.oribi.io/XzE3NzQxNjMxNTU/oribi.js	/home/tits/websites/Israel%20mobile%20app/cdn.oribi.io/XzE3NzQxNjMxNTU/oribi.js	(from http://www.aydrate.com/)
01:04:16	9531/9531	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2008:28:54%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-180x180.png	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/cropped-site-icon-180x180.png	(from http://www.aydrate.com/)
01:04:18	7501/7501	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2008:28:23%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/aydrate-logo.png	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/aydrate-logo.png	(from http://www.aydrate.com/)
01:04:20	1705345/1705345	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2013:25:00%20GMT	http://www.aydrate.com/wp-content/uploads/2017/02/20170121_083219-e1488201899405.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2017/02/20170121_083219-e1488201899405.jpg	(from http://www.aydrate.com/)
01:04:20	35943/35943	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	/home/tits/websites/Israel%20mobile%20app/www.google-analytics.com/analytics.js	(from http://www.aydrate.com/)
01:04:20	26582/26582	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:04:19%20GMT	http://www.aydrate.com/news/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/news/index.html	(from http://www.aydrate.com/)
01:04:26	6077/6077	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202017%2011:37:39%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/brucesq-f399fd926acf28fa981cc27ba7e28170-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/brucesq-f399fd926acf28fa981cc27ba7e28170-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:28	6974/6974	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202017%2011:37:02%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/omrisq-89b8a632f519858cec10f762f72d90e0-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/omrisq-89b8a632f519858cec10f762f72d90e0-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:30	6651/6651	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Oct%202017%2010:38:42%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/yaronsq-6b0de3516602ec95cb39564052b1234a-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/yaronsq-6b0de3516602ec95cb39564052b1234a-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:32	6321/6321	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202017%2013:47:37%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/shanisq-88fd20522cfbccbcbaaa145ab032f0a8-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/shanisq-88fd20522cfbccbcbaaa145ab032f0a8-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:34	7283/7283	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202017%2014:28:53%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/eitziksq-38215e328d18d8d9a69f9f761632dcda-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/eitziksq-38215e328d18d8d9a69f9f761632dcda-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:36	6557/6557	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202017%2014:25:34%20GMT	http://www.aydrate.com/wp-content/uploads/thumb-cache/oren-55a8bb035682168142e68371d246837b-225x225-100-crop.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/thumb-cache/oren-55a8bb035682168142e68371d246837b-225x225-100-crop.jpg	(from http://www.aydrate.com/)
01:04:38	2211/2211	---M--	200	added ('OK')	image/gif	date:Tue,%2004%20Jul%202017%2011:00:08%20GMT	http://www.aydrate.com/wp-content/plugins/lead-form-builder/images/load.gif	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/lead-form-builder/images/load.gif	(from http://www.aydrate.com/)
01:04:41	2645/2645	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.mindeae.js	(from http://www.aydrate.com/)
01:04:41	1073166/1073166	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2015:28:10%20GMT	http://www.aydrate.com/wp-content/uploads/2016/08/Aidrate_what_if.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/08/Aidrate_what_if.jpg	(from http://www.aydrate.com/)
01:04:42	939705/939705	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2010:16:04%20GMT	http://www.aydrate.com/wp-content/uploads/2016/09/IMG_20150207_084603.jpg	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/uploads/2016/09/IMG_20150207_084603.jpg	(from http://www.aydrate.com/)
01:04:42	9566/9566	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://www.aydrate.com/)
01:04:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Dec%202017%2023:04:42%20GMT	http://www.aydrate.com/[14:56,%2010/16/2017]%20%d7%91%d7%a8%d7%95%d7%a1:%20https://www.linkedin.com/in/itzikzalma/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/[14_56,%2010/16/2017]%20%d7%91%d7%a8%d7%95%d7%a1_%20https_/www.linkedin.com/in/itzikzalma/index.html	(from http://www.aydrate.com/)
01:04:44	28630/28630	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:04:42%20GMT	http://www.aydrate.com/presenting-at-webit/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/presenting-at-webit/index.html	(from http://www.aydrate.com/)
01:04:44	1846/1846	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://www.aydrate.com/)
01:04:45	562/562	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.mindeae.js	(from http://www.aydrate.com/)
01:04:46	2569/2569	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2011:34:27%20GMT	http://www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.2.1	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.mindeae.js	(from http://www.aydrate.com/)
01:04:48	1872/1872	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/classie.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/classie5a7e.js	(from http://www.aydrate.com/)
01:04:48	36171/36171	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jqBootstrapValidation.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jqBootstrapValidation5a7e.js	(from http://www.aydrate.com/)
01:04:50	8097/8097	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.easing.1.3.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.easing.1.35a7e.js	(from http://www.aydrate.com/)
01:04:50	67155/67155	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/bootstrap.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/bootstrap5a7e.js	(from http://www.aydrate.com/)
01:04:52	14534/14534	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.superslides.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.superslides5a7e.js	(from http://www.aydrate.com/)
01:04:52	67578/67578	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/hammer.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/hammer5a7e.js	(from http://www.aydrate.com/)
01:04:54	54915/54915	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.flexslider.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.flexslider5a7e.js	(from http://www.aydrate.com/)
01:04:54	35316/35316	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.prettyPhoto.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.prettyPhoto5a7e.js	(from http://www.aydrate.com/)
01:04:56	16388/16388	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.jcarousellite.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.jcarousellite5a7e.js	(from http://www.aydrate.com/)
01:04:56	49284/49284	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/jquery.bxslider.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/jquery.bxslider5a7e.js	(from http://www.aydrate.com/)
01:04:58	25135/25135	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/imagesloaded.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/imagesloaded5a7e.js	(from http://www.aydrate.com/)
01:04:58	52896/52896	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/owl.carousel.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/owl.carousel5a7e.js	(from http://www.aydrate.com/)
01:05:00	44353/44353	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/skrollr.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/skrollr5a7e.js	(from http://www.aydrate.com/)
01:05:00	15553/15553	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2008:21:00%20GMT	http://www.aydrate.com/wp-content/themes/novelpro/js/wow.js?ver=21032016	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/wp-content/themes/novelpro/js/wow5a7e.js	(from http://www.aydrate.com/)
